
Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_Per_Capita,HDI_Category
84.2,14.5,19.5,78000,Very High
83.1,13.8,18.9,72000,Very High
82.3,13.6,18.4,68000,Very High
81.8,13.2,18.1,62000,Very High
80.9,12.8,17.9,58000,Very High
79.5,12.3,17.2,45000,High
78.8,12.0,16.9,42000,High
78.0,11.8,16.5,39000,High
77.3,11.5,16.2,36000,High
76.8,11.2,15.8,33000,High
75.9,10.9,15.5,30000,High
75.1,10.5,15.0,27000,High
74.6,10.2,14.8,24000,Medium
73.8,9.8,14.2,21000,Medium
73.1,9.5,13.9,19000,Medium
72.5,9.1,13.5,17000,Medium
71.8,8.8,13.1,15000,Medium
71.0,8.5,12.8,13000,Medium
70.2,8.2,12.4,11000,Medium
69.5,7.9,12.0,9500,Medium
68.8,7.5,11.6,8500,Medium
67.9,7.0,11.0,7000,Low
66.8,6.6,10.6,6000,Low
65.9,6.2,10.2,5200,Low
64.8,5.8,9.8,4500,Low
63.9,5.4,9.4,3800,Low
62.8,5.0,9.0,3200,Low
61.7,4.7,8.6,2800,Low
60.8,4.3,8.2,2200,Low
59.9,4.0,7.8,1800,Low
```
